Provinsi,Desa/Kelurahan Lembah,Desa/Kelurahan Lereng/Puncak,Desa/Kelurahan Dataran,Total_Kejadian,Total_Meninggal,Total_Terluka,Total_Rumah_Rusak,Total_Fasum_Rusak,Total_Hilang,Total_Rumah_Terendam,Jumlah_Penduduk,Jumlah_Penduduk_Km2
Aceh,153,2011,4350,97,5,7,1354,21,0,29244,5471625,56834.746
Sumatera Utara,99,3971,2062,112,10,102,101,23,11,32091,15401904,72460.744
Sumatera Barat,5,617,665,72,7,4593,702,78,2,21458,5701545,42119.542
Riau,1,328,1547,79,1,0,11202,287,0,92867,6794944,89935.896
Jambi,6,450,1106,24,5,4,490,138,0,19750,3726004,49026.579
Sumatera Selatan,20,726,2546,28,2,0,87,11,0,17377,8813243,86771.684
Bengkulu,25,1137,352,11,0,0,8,10,0,2267,2078958,20128.34
Lampung,1,616,2037,19,2,0,461,4,0,3056,9001424,33570.264
Kepulauan Bangka Belitung,0,25,368,12,0,0,4,0,0,613,1502367,16690.129
Kepulauan Riau,2,250,176,11,0,0,32,2,0,2848,2150329,8269.708
DKI Jakarta,0,0,267,8,0,0,30,0,0,382,11350328,660.982
Jawa Barat,41,2424,3492,111,4,14,241,211,0,116174,49572392,37044.858
Jawa Tengah,59,3591,4912,98,5,0,87,33,0,100172,37949234,34337.489
Daerah Istimewa Yogyakarta,0,151,287,6,0,0,0,1,0,119,3710229,3170.645
Jawa Timur,74,2587,5835,41,6,0,266,24,0,38058,41471061,48036.84
Banten,12,514,1026,28,0,0,37,1,0,6239,12381098,9352.767
Bali,4,177,535,5,0,0,6,1,0,1682,4327276,5590.15
Nusa Tenggara Barat,5,467,679,69,4,0,303,45,0,16877,5576992,19675.889
Nusa Tenggara Timur,20,2849,581,29,8,2,297,11,2,2160,5573515,46446.644
Kalimantan Barat,2,789,1357,37,4,0,4,1,1,44191,5525789,147037.037
Kalimantan Tengah,2,682,892,42,0,40,103,0,0,54742,2726529,153443.908
Kalimantan Selatan,0,332,1675,48,0,0,11,0,0,81825,4205816,37135.054
Kalimantan Timur,0,610,436,33,0,0,2,1,0,10534,3970764,126981.279
Kalimantan Utara,4,323,155,19,1,3,15,22,0,21708,734713,70101.184
Sulawesi Utara,31,1477,332,16,5,1,1063,8,0,4577,2676012,14500.275
Sulawesi Tengah,20,1372,628,61,1,0,357,75,0,3656,3123662,61605.718
Sulawesi Selatan,22,1338,1691,52,3,0,493,55,0,12536,9349137,45330.55
Sulawesi Tenggara,24,1394,891,3,0,0,0,2,0,1198,2726590,36159.713
Gorontalo,7,436,291,21,0,0,303,6,0,6136,1225808,12025.147
Sulawesi Barat,4,444,202,14,3,0,37,5,0,5061,1457481,16594.749
Maluku,10,716,522,19,0,0,32,3,0,1091,1900914,46158.267
Maluku Utara,7,721,475,27,0,0,13,5,0,2081,1354803,32998.696
Papua Barat,41,1390,555,1,0,0,1,0,0,0,562214,60275.31
Papua,162,3836,1557,4,0,1,46,1,0,419,1077141,82680.958
