Provinsi,Desa/Kelurahan Lembah,Desa/Kelurahan Lereng/Puncak,Desa/Kelurahan Dataran,Total_Kejadian,Total_Meninggal,Total_Terluka,Total_Rumah_Rusak,Total_Fasum_Rusak,Total_Hilang,Jumlah_Penduduk,Jumlah_Penduduk_Km2
Aceh,153,2011,4350,9,1,0,4,3,3,5471625,56834.746
Sumatera Utara,99,3971,2062,19,6,25,16,2,2,15401904,72460.744
Sumatera Barat,5,617,665,14,3,615,248,7,0,5701545,42119.542
Riau,1,328,1547,3,0,0,21,1,0,6794944,89935.896
Jambi,6,450,1106,4,0,0,8,0,0,3726004,49026.579
Sumatera Selatan,20,726,2546,3,0,0,9,0,0,8813243,86771.684
Bengkulu,25,1137,352,6,1,0,1,1,0,2078958,20128.34
Lampung,1,616,2037,3,3,0,4,0,6,9001424,33570.264
Kepulauan Bangka Belitung,0,25,368,1,1,0,0,0,0,1502367,16690.129
Kepulauan Riau,2,250,176,2,44,4,100,0,4,2150329,8269.708
DKI Jakarta,0,0,267,7,1,2,11,0,0,11350328,660.982
Jawa Barat,41,2424,3492,198,24,37,844,81,1,49572392,37044.858
Jawa Tengah,59,3591,4912,129,15,52,265,8,1,37949234,34337.489
Daerah Istimewa Yogyakarta,0,151,287,24,0,0,61,2,0,3710229,3170.645
Jawa Timur,74,2587,5835,5,2,2,41,1,0,41471061,48036.84
Banten,12,514,1026,1,0,0,14,0,0,12381098,9352.767
Bali,4,177,535,23,8,11,37,9,0,4327276,5590.15
Nusa Tenggara Barat,5,467,679,24,1,0,35,3,0,5576992,19675.889
Nusa Tenggara Timur,20,2849,581,10,1,2,20,1,0,5573515,46446.644
Kalimantan Barat,2,789,1357,2,0,0,1,0,0,5525789,147037.037
Kalimantan Tengah,2,682,892,3,0,0,3,0,0,2726529,153443.908
Kalimantan Selatan,0,332,1675,8,0,0,13,0,0,4205816,37135.054
Kalimantan Timur,0,610,436,26,1,0,36,4,0,3970764,126981.279
Kalimantan Utara,4,323,155,14,0,0,14,0,0,734713,70101.184
Sulawesi Utara,31,1477,332,2,5,3,139,0,0,2676012,14500.275
Sulawesi Tengah,20,1372,628,5,10,4,1,0,0,3123662,61605.718
Sulawesi Selatan,22,1338,1691,32,0,3,44,4,0,9349137,45330.55
Sulawesi Barat,4,444,202,17,2,1,41,1,0,1457481,16594.749
Maluku,10,716,522,9,0,0,19,0,0,1900914,46158.267
Maluku Utara,7,721,475,1,0,0,1,0,0,1354803,32998.696
Papua Barat,41,1390,555,1,0,0,1,0,0,562214,60275.31
Papua,162,3836,1557,2,0,0,2,0,0,1077141,82680.958
